"name","street","city","zip","phone","sys_updated_on"
"3Com","","","","","2013-06-05 08:48:22"
"Acer","333 W. San Carlos St.,Ste. 1500","San Jose","95110","(408) 533-7700","2013-06-05 08:47:42"
"ACME Africa","","","","","2013-06-05 15:19:34"
"ACME Americas","","","","","2013-06-05 15:20:45"
"ACME APAC","","","","","2013-06-05 15:20:59"
"ACME Australia","","Sydney","","","2013-06-05 15:21:12"
"ACME China","","Shanghai","","","2013-06-05 15:21:26"
"ACME Corporation","","","","","2013-06-05 15:21:36"
"ACME Czech Republic","","Prague","","","2013-06-05 15:21:53"
"ACME EMEA","","","","","2013-06-05 15:22:06"
"ACME France","","Paris","","","2013-06-05 15:22:17"
"ACME Germany","","Frankfurt","","","2013-06-05 15:22:31"
"ACME Italy","","Rome","","","2013-06-05 15:22:42"
"ACME Japan","","Tokyo","","","2013-06-05 15:23:18"
"ACME North America","","","","","2013-06-05 15:23:31"
"ACME South Africa","","South Africa","","","2013-06-05 15:23:42"
"ACME South America","","","","","2013-06-05 15:24:08"
"ACME Switzerland","","Geneva","","","2013-06-05 15:23:55"
"ACME UK","","London","","","2013-06-05 15:22:52"
"Adagio","","","","","2013-06-05 15:26:02"
"Adaptec","","","","","2013-06-05 09:01:41"
"Adobe Systems","345 Park Avenue","San Jose","95110-2704","408-536-6000","2013-05-09 13:30:25"
"Adtran","901 Explorer Boulevard","Huntsville","35806-2807","(256) 963-8000","2013-06-05 15:29:17"
"Agere","","","","","2013-06-05 09:04:53"
"Ahead","","","","","2013-06-05 09:15:12"
"Aladdin","","","","","2013-06-05 09:20:44"
"Altiris","350 Ellis Street","Mountain View","94043","(650) 527-8000","2013-05-08 10:50:49"
"Amazon","1200 12th Ave. South, Ste. 1200","Seattle","98144-2734","(866) 216-1072","2013-05-07 10:18:47"
"America Online","770 Broadway","New York, NY 10003","10003","(800) 827-6364","2013-05-08 10:54:37"
"Analog Devices","","","","","2013-06-05 09:26:02"
"Andrea Electronics","","","","","2013-06-05 09:28:58"
"Ann Arbor","","","","","2013-06-05 09:35:08"
"AOpen","","","","","2013-06-05 09:37:07"
